water_point_id,name,stratum,commune,fokontany,village,lat,lon,households_served,status
WP-MA-039,Pompe Ankazo 4,MA,Sandravinany,Sandravinany Atsinanana,Ampanihy,-24.23766,47.37219,60,active
WP-MA-040,Pompe Andranomena 5,MA,Sandravinany,Sandravinany Atsinanana,Maromena,-24.25004,47.3662,23,active
WP-AM-041,Pompe Ampanihy 1,AM,Amboasary-Sud,Amboasary Afovoany,Andranomena,-25.1132,46.29898,32,active
WP-AM-042,Pompe Ankilimalinika 2,AM,Amboasary-Sud,Amboasary Ambany,Tsihanaka,-25.06974,46.35349,47,active
WP-AM-043,Pompe Maromena 3,AM,Amboasary-Sud,Amboasary Andrefana,Andranomena,-25.12568,46.33775,60,active
WP-AM-044,Pompe Ambato 4,AM,Amboasary-Sud,Amboasary Atsinanana,Beraketa,-25.05849,46.35502,55,active
WP-AM-045,Pompe Maromena 5,AM,Amboasary-Sud,Amboasary Ambany,Ankazo,-25.07882,46.31681,45,active
WP-AM-046,Pompe Maromena 1,AM,Tanandava,Tanandava Atsinanana,Maromena,-25.00688,46.34094,53,active
WP-AM-047,Pompe Ambato 2,AM,Tanandava,Tanandava Ambany,Tsihanaka,-25.01929,46.31677,46,active
WP-AM-048,Pompe Beraketa 3,AM,Tanandava,Tanandava Afovoany,Maromena,-25.00741,46.37075,28,inactive
WP-AM-049,Pompe Ambato 4,AM,Tanandava,Tanandava Ambany,Ambato,-24.99403,46.34126,57,active
WP-AM-050,Pompe Ankilimalinika 5,AM,Tanandava,Tanandava Ambany,Maromena,-25.05695,46.32454,17,active
WP-AM-051,Pompe Beraketa 1,AM,Ifotaka,Ifotaka Andrefana,Beraketa,-25.10478,46.43054,60,active
WP-AM-052,Pompe Ankilimalinika 2,AM,Ifotaka,Ifotaka Ambony,Ankilimalinika,-25.127,46.46808,35,active
WP-AM-053,Pompe Ampanihy 3,AM,Ifotaka,Ifotaka Ambany,Maromena,-25.12801,46.47041,57,active
WP-AM-054,Pompe Maromena 4,AM,Ifotaka,Ifotaka Afovoany,Maromena,-25.08203,46.43277,22,active
WP-AM-055,Pompe Ambato 5,AM,Ifotaka,Ifotaka Atsinanana,Ankazo,-25.09154,46.44954,57,active
WP-AM-056,Pompe Tsihanaka 1,AM,Berenty,Berenty Afovoany,Beraketa,-25.00143,46.46493,34,active
WP-AM-057,Pompe Beraketa 2,AM,Berenty,Berenty Andrefana,Ankazo,-24.96773,46.42819,59,active
WP-AM-058,Pompe Maromena 3,AM,Berenty,Berenty Afovoany,Tsihanaka,-25.02481,46.45338,17,active
WP-AM-059,Pompe Ankilimalinika 4,AM,Berenty,Berenty Andrefana,Ampanihy,-25.02476,46.4534,46,active
WP-AM-060,Pompe Beraketa 5,AM,Berenty,Berenty Ambany,Tsihanaka,-24.97981,46.47616,19,active
